Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
1977,NBA,Boston Celtics,32,50,0.39,3,,105.9,,99.1,,100.9,0,,T. Heinsohn (11,D. Cowens (10.8)
1976,NBA,Boston Celtics*,44,38,0.537,2,,107.5,1,96.5,,98.3,,Lost E. Conf. Semis,T. Heinsohn (44,J. White (6.5)
1975,NBA,Boston Celtics*,54,28,0.659,1,2.25,106.9,1.4,98.9,0.6,96.7,,Won Finals,T. Heinsohn (54,D. Cowens (10.7)
1974,NBA,Boston Celtics*,60,22,0.732,1,5.4,106.1,1.6,100,2.3,94.7,,Lost E. Conf. Finals,T. Heinsohn (60,J. Havlicek (9.7)
1973,NBA,Boston Celtics*,56,26,0.683,1,3.42,110,2.2,98.6,0.9,95.1,,Won Finals,T. Heinsohn (56,J. Havlicek (9.7)
1972,NBA,Boston Celtics*,68,14,0.829,1,7.35,114.5,3.8,98.1,1.3,91,,Lost E. Conf. Finals,T. Heinsohn (68,J. Havlicek (12.1)
1971,NBA,Boston Celtics*,56,26,0.683,1,4.38,116.1,4.1,99.3,1.4,95.2,,Lost E. Conf. Finals,T. Heinsohn (56,J. Havlicek (12.4)
1970,NBA,Boston Celtics,44,38,0.537,3,2.3,120.2,5.1,97,,95.3,,,T. Heinsohn (44,J. Havlicek (12.5)
1969,NBA,Boston Celtics,34,48,0.415,6,,117.5,0.4,97.3,,98.9,,,T. Heinsohn (34,J. Havlicek (10.6)
1968,NBA,Boston Celtics*,48,34,0.585,4,5.35,117.5,0.6,93.8,,89.1,,Won Finals,B. Russell (48,B. Howell (11.3)
1967,NBA,Boston Celtics*,54,28,0.659,2,3.87,121.1,1.3,95.7,,92.4,,Won Finals,B. Russell (54,B. Howell (10.1)
1966,NBA,Boston Celtics*,60,21,0.741,2,7.24,121.2,,97.5,1.4,91,,Lost E. Div. Finals,B. Russell (60,B. Russell (12.2)
1965,NBA,Boston Celtics*,54,26,0.675,2,4.34,122,0.6,92.3,,88.3,,Won Finals,R. Auerbach (54,B. Russell (11.7)
1964,NBA,Boston Celtics*,62,18,0.775,1,7.46,123.6,6.3,90.9,,84.2,,Won Finals,R. Auerbach (62,B. Russell (16.9)
