Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2004,NBA,Philadelphia 76ers*,43,39,0.524,2,,94.9,4,103.5,,104.3,,Lost E. Conf. 1st Rnd.,J. O'Brien (43,A. Iverson (9.0)
2003,NBA,Philadelphia 76ers,33,49,0.402,5,,88,,99.1,,101.9,,,R. Ayers (21,S. Dalembert (6.9)
2002,NBA,Philadelphia 76ers*,48,34,0.585,2,1.76,91.4,0.4,105,1.4,102.5,,Lost E. Conf. Semis,L. Brown (48,A. Iverson (9.2)
2001,NBA,Philadelphia 76ers*,43,39,0.524,4,1.27,88.9,,102.1,,100.3,,Lost E. Conf. 1st Rnd.,L. Brown (43,D. Mutombo (9.6)
2000,NBA,Philadelphia 76ers*,56,26,0.683,1,3.64,90.6,,103.6,0.6,98.9,,Lost Finals,L. Brown (56,A. Iverson (11.8)
1999,NBA,Philadelphia 76ers*,49,33,0.598,3,1.02,92.7,,101.5,,100,,Lost E. Conf. Semis,L. Brown (49,A. Iverson (6.9)
1998,NBA,Philadelphia 76ers*,28,22,0.56,3,2.56,88.6,,99.9,,97.6,,Lost E. Conf. Semis,L. Brown (28,A. Iverson (7.2)
1997,NBA,Philadelphia 76ers,31,51,0.378,7,,90.4,0.1,102.8,,105.4,0.4,,L. Brown (31,A. Iverson (9.0)
1996,NBA,Philadelphia 76ers,22,60,0.268,6,,95.3,5.2,104.6,,111.4,4.7,,J. Davis (22,C. Weatherspoon (5.0)
1995,NBA,Philadelphia 76ers,18,64,0.22,7,,92.2,0.4,102.2,,113,5.4,,J. Lucas (18,C. Weatherspoon (5.8)
1994,NBA,Philadelphia 76ers,24,58,0.293,6,,91,,104.1,,109.7,1.4,,J. Lucas (24,D. Barros (12.7)
1993,NBA,Philadelphia 76ers,25,57,0.305,6,,95.7,0.6,101.7,,109.7,3.4,,F. Carter (25,C. Weatherspoon (6.0)
1992,NBA,Philadelphia 76ers,26,56,0.317,6,,98.5,1.7,104.6,,110.4,2.4,,D. Moe (19,H. Hawkins (8.5)
1991,NBA,Philadelphia 76ers,35,47,0.427,5,,93.7,,108.3,0.1,109.7,1.5,,J. Lynam (35,C. Barkley (12.3)
1990,NBA,Philadelphia 76ers*,44,38,0.537,2,,95.7,,107.9,0,108.1,0.2,Lost E. Conf. Semis,J. Lynam (44,C. Barkley (13.4)
1989,NBA,Philadelphia 76ers*,53,29,0.646,1,4.23,96.5,,113.5,5.4,108.4,0.3,Lost E. Conf. Semis,J. Lynam (53,C. Barkley (17.3)
1988,NBA,Philadelphia 76ers*,46,36,0.561,2,1.68,98.5,,113,5.2,111.5,3.7,Lost E. Conf. 1st Rnd.,J. Lynam (46,C. Barkley (16.1)
1987,NBA,Philadelphia 76ers,36,46,0.439,4,,96,,108.8,0.8,110.3,2.3,,M. Guokas (20,C. Barkley (16.7)
1986,NBA,Philadelphia 76ers*,45,37,0.549,2,0.11,97.3,,108.3,0,108.5,0.2,Lost E. Conf. 1st Rnd.,M. Guokas (45,C. Barkley (12.0)
1985,NBA,Philadelphia 76ers*,54,28,0.659,2,2.46,100.5,,108.6,1.4,106.3,,Lost E. Conf. Semis,M. Guokas (54,C. Barkley (10.8)
1984,NBA,Philadelphia 76ers*,58,24,0.707,2,4.17,100.8,,111.3,3.4,107.3,,Lost E. Conf. Finals,B. Cunningham (58,M. Malone (11.9)
1983,NBA,Philadelphia 76ers*,52,30,0.634,2,2.39,99.6,,106.8,,104.6,,Lost E. Conf. 1st Rnd.,B. Cunningham (52,J. Erving (10.1)
1982,NBA,Philadelphia 76ers*,65,17,0.793,1,7.53,102.7,,108.3,3.6,100.9,,Won Finals,B. Cunningham (65,M. Malone (15.1)
1981,NBA,Philadelphia 76ers*,58,24,0.707,2,5.74,100.6,,109.6,2.7,103.9,,Lost Finals,B. Cunningham (58,J. Erving (13.3)
1980,NBA,Philadelphia 76ers*,62,20,0.756,2,7.76,103.4,1.6,107,1.5,99.5,,Lost E. Conf. Finals,B. Cunningham (62,J. Erving (13.8)
1979,NBA,Philadelphia 76ers*,59,23,0.72,2,4.04,103,,105,,101,,Lost Finals,B. Cunningham (59,J. Erving (12.5)
1978,NBA,Philadelphia 76ers*,47,35,0.573,2,1.74,106.7,0.9,102,,100.3,,Lost E. Conf. Semis,B. Cunningham (47,J. Erving (7.9)
1977,NBA,Philadelphia 76ers*,55,27,0.671,1,4.87,108.4,1.7,105,4.1,100.3,,Lost E. Conf. Finals,G. Shue (2,J. Erving (9.1)
1976,NBA,Philadelphia 76ers*,50,32,0.61,1,3.78,108.3,1.8,101.2,1.7,97.6,,Lost Finals,G. Shue (50,J. Erving (11.5)
1975,NBA,Philadelphia 76ers*,46,36,0.561,2,0.33,107.5,2,98.2,,98,,Lost E. Conf. 1st Rnd.,G. Shue (46,D. Collins (10.0)
1974,NBA,Philadelphia 76ers,34,48,0.415,4,,103.4,,95.8,,98.8,1.1,,G. Shue (34,D. Collins (7.7)
1973,NBA,Philadelphia 76ers,25,57,0.305,4,,108.3,0.5,93.1,,99,1.3,,G. Shue (25,S. Mix (8.2)
1972,NBA,Philadelphia 76ers,9,73,0.11,4,,115.2,4.5,90.2,,100.6,3.8,,R. Rubin (4,J. Block (3.4)
1971,NBA,Philadelphia 76ers,30,52,0.366,3,,115.8,3.8,96.4,,99.5,1.6,,J. Ramsay (30,B. Cunningham (8.3)
1970,NBA,Philadelphia 76ers*,47,35,0.573,2,1.81,115.7,0.6,98.8,1.6,97.5,0.3,Lost E. Conf. Semis,J. Ramsay (47,A. Clark (11.4)
1969,NBA,Philadelphia 76ers*,42,40,0.512,4,3.32,120.9,3.8,100.5,1.5,97.7,,Lost E. Div. Semis,J. Ramsay (42,B. Cunningham (10.3)
1968,NBA,Philadelphia 76ers*,55,27,0.671,2,4.79,120.4,3.5,98.1,2.6,93.9,,Lost E. Div. Semis,J. Ramsay (55,H. Greer (9.9)
1967,NBA,Philadelphia 76ers*,62,20,0.756,1,7.96,124.3,4.5,98.1,1.3,91.2,,Lost E. Div. Finals,A. Hannum (62,W. Chamberlain (20.4)
1966,NBA,Philadelphia 76ers*,68,13,0.84,1,8.5,122.9,1.3,101.5,5.4,93.9,,Won Finals,A. Hannum (68,W. Chamberlain (21.9)
1965,NBA,Philadelphia 76ers*,55,25,0.688,1,4.16,122.8,1.4,95.3,0.4,91.5,,Lost E. Div. Finals,D. Schayes (55,W. Chamberlain (21.4)
1964,NBA,Philadelphia 76ers*,40,40,0.5,3,,119.1,1.8,94.1,0.5,94.2,0.6,Lost E. Div. Finals,D. Schayes (40,W. Chamberlain (7.6)
1963,NBA,Philadelphia 76ers*,34,46,0.425,3,,119.4,6.2,93.8,,97.5,2.9,Lost E. Div. Semis,D. Schayes (34,H. Greer (8.1)
1962,NBA,Syracuse Nationals*,48,32,0.6,2,3.4,123.3,8.3,98.4,2.5,95.3,,Lost E. Div. Semis,A. Hannum (48,H. Greer (8.2)
1961,NBA,Syracuse Nationals*,41,39,0.513,3,2.24,128.8,7.5,93.4,,91.6,,Lost E. Div. Semis,A. Hannum (41,H. Greer (8.5)
1960,NBA,Syracuse Nationals*,38,41,0.481,3,1.93,129.1,5.6,93.6,1.5,91.9,,Lost E. Div. Finals,A. Hannum (38,L. Costello (8.6)
1959,NBA,Syracuse Nationals*,45,30,0.6,3,2.77,127.2,4.9,93.1,2,91,,Lost E. Div. Semis,P. Seymour (45,D. Schayes (9.5)
1958,NBA,Syracuse Nationals*,35,37,0.486,3,3.74,121,9,92.5,2.3,89.2,,Lost E. Div. Finals,P. Seymour (35,D. Schayes (9.4)
1957,NBA,Syracuse Nationals*,41,31,0.569,2,2.18,119.1,2.1,89.9,1.1,88.1,,Lost E. Div. Semis,P. Seymour (41,D. Schayes (13.7)
1956,NBA,Syracuse Nationals*,38,34,0.528,2,,112.3,7.4,88.3,,89.5,0.6,Lost E. Div. Finals,A. Cervi (4,D. Schayes (12.5)
1955,NBA,Syracuse Nationals*,35,37,0.486,3,0.17,108.5,5.7,88,,88,,Lost E. Div. Finals,A. Cervi (35,D. Schayes (11.8)
1954,NBA,Syracuse Nationals*,43,29,0.597,1,1.23,103.6,5.5,87.5,,86.2,,Won Finals,A. Cervi (43,D. Schayes (12.0)
1953,NBA,Syracuse Nationals*,42,30,0.583,2,4.27,93.5,9.9,88.2,0.7,83,,Lost Finals,A. Cervi (42,D. Schayes (14.8)
1952,NBA,Syracuse Nationals*,47,24,0.662,2,3.62,92.8,12.3,90.6,2.6,86,,Lost E. Div. Semis,A. Cervi (47,D. Schayes (13.1)
1951,NBA,Syracuse Nationals*,40,26,0.606,1,3.94,96.1,10.3,89.2,2.3,84.6,,Lost E. Div. Finals,A. Cervi (40,D. Schayes (8.5)
1950,NBA,Syracuse Nationals*,32,34,0.485,4,0.62,98.1,12.6,86.4,1.3,85.9,0.8,Lost E. Div. Finals,A. Cervi (32,D. Schayes (10.3)
1949,NBA,Syracuse Nationals*,51,13,0.797,1,6.48,,,,,,,Lost Finals,A. Cervi (51,D. Schayes (12.8)
2017,NBA,Brooklyn Nets,13,22,0.371,5,,100.5,3.4,106.7,,109.2,1.4,,K. Atkinson (13,S. Dinwiddie (2.9)
2016,NBA,Brooklyn Nets,20,62,0.244,5,,101.3,4.9,104.1,,110.7,1.9,,K. Atkinson (20,B. Lopez (4.9)
2015,NBA,Brooklyn Nets,21,61,0.256,4,,95.2,,103.2,,110.9,4.5,,L. Hollins (10,B. Lopez (6.2)
2014,NBA,Brooklyn Nets*,38,44,0.463,3,,92.7,,104.4,,107.4,1.8,Lost E. Conf. 1st Rnd.,L. Hollins (38,B. Lopez (7.0)
2013,NBA,Brooklyn Nets*,44,38,0.537,2,,91.4,,106.7,0,107.7,1,Lost E. Conf. Semis,J. Kidd (44,D. Williams (5.4)
2012,NBA,Brooklyn Nets*,49,33,0.598,2,1.25,88.8,,108.2,2.3,106.2,0.3,Lost E. Conf. 1st Rnd.,A. Johnson (14,D. Williams (10.9)
2011,NBA,New Jersey Nets,22,44,0.333,5,,90.1,,102.9,,109.6,5,,A. Johnson (22,K. Humphries (5.3)
2010,NBA,New Jersey Nets,24,58,0.293,4,,89.9,,103.1,,109.9,2.6,,A. Johnson (24,B. Lopez (6.3)
2009,NBA,New Jersey Nets,12,70,0.146,5,,91.4,,100.6,,110.5,2.9,,L. Frank (0,B. Lopez (7.9)
2008,NBA,New Jersey Nets,34,48,0.415,3,,89.9,,108.3,0,111,2.7,,L. Frank (34,V. Carter (7.5)
2007,NBA,New Jersey Nets,34,48,0.415,4,,91.5,,104,,109.4,1.9,,L. Frank (34,V. Carter (7.7)
2006,NBA,New Jersey Nets*,41,41,0.5,2,,91.4,,105.7,,106.6,0.1,Lost E. Conf. Semis,L. Frank (41,V. Carter (10.5)
2005,NBA,New Jersey Nets*,49,33,0.598,1,1.11,89.8,,103.9,,102.4,,Lost E. Conf. Semis,L. Frank (49,R. Jefferson (11.7)
2004,NBA,New Jersey Nets*,42,40,0.512,3,,89.1,,101.4,,103.1,,Lost E. Conf. 1st Rnd.,L. Frank (42,V. Carter (8.5)
2003,NBA,New Jersey Nets*,47,35,0.573,1,1.88,89.4,,100.8,,98,,Lost E. Conf. Semis,B. Scott (22,R. Jefferson (11.0)
2002,NBA,New Jersey Nets*,49,33,0.598,1,4.42,91.6,0.6,103.8,0.2,98.1,,Lost Finals,B. Scott (49,J. Kidd (11.3)
2001,NBA,New Jersey Nets*,52,30,0.634,1,3.67,91.8,1.1,104,,99.5,,Lost Finals,B. Scott (52,J. Kidd (8.9)
2000,NBA,New Jersey Nets,26,56,0.317,6,,91.8,0.5,100,,105.5,2.5,,B. Scott (26,S. Marbury (7.8)
1999,NBA,New Jersey Nets,31,51,0.378,6,,92.5,,105.1,1,106.3,2.2,,D. Casey (31,S. Marbury (7.4)
1998,NBA,New Jersey Nets,16,34,0.32,7,,91.5,2.6,99.5,,103.6,1.4,,J. Calipari (3,S. Marbury (4.0)
1997,NBA,New Jersey Nets*,43,39,0.524,3,1.88,91,0.7,108.3,3.3,106.6,1.6,Lost E. Conf. 1st Rnd.,J. Calipari (43,K. Kittles (8.4)
1996,NBA,New Jersey Nets,26,56,0.317,5,,92.4,2.3,104.7,,109.7,3,,J. Calipari (26,K. Gill (8.8)
1995,NBA,New Jersey Nets,30,52,0.366,6,,90.9,,101.9,,106.5,,,B. Beard (30,A. Gilliam (6.7)
1994,NBA,New Jersey Nets,30,52,0.366,5,,92.3,,105.2,,108.6,0.3,,B. Beard (30,K. Anderson (6.8)
1993,NBA,New Jersey Nets*,45,37,0.549,3,2.11,95.5,0.4,107.2,0.9,104.9,,Lost E. Conf. 1st Rnd.,C. Daly (45,D. Coleman (9.9)
1992,NBA,New Jersey Nets*,43,39,0.524,3,1.2,96,,106.5,,105.2,,Lost E. Conf. 1st Rnd.,C. Daly (43,D. Coleman (9.5)
1991,NBA,New Jersey Nets*,40,42,0.488,3,,98,1.4,107,,108.7,0.5,Lost E. Conf. 1st Rnd.,B. Fitch (40,D. Petrovic (7.7)
1990,NBA,New Jersey Nets,26,56,0.317,5,,99.3,1.5,102.9,,107.4,,,B. Fitch (26,D. Coleman (5.8)
1989,NBA,New Jersey Nets,17,65,0.207,6,,99.3,1,100.7,,108.6,0.5,,B. Fitch (17,S. Bowie (4.7)
1988,NBA,New Jersey Nets,26,56,0.317,5,,100.1,,103,,109.3,1.5,,W. Reed (26,L. Conner (6.2)
1987,NBA,New Jersey Nets,19,63,0.232,5,,98.6,,101.4,,109.6,1.6,,D. Wohl (2,B. Williams (7.6)
1986,NBA,New Jersey Nets,24,58,0.293,4,,101.8,1,105.6,,110.5,2.2,,D. Wohl (24,B. Williams (7.9)
1985,NBA,New Jersey Nets*,39,43,0.476,4,,103.3,1.2,105,,106.9,,Lost E. Conf. 1st Rnd.,D. Wohl (39,M. Gminski (9.2)
1984,NBA,New Jersey Nets*,42,40,0.512,3,0.64,101,,107.9,0,107.7,,Lost E. Conf. 1st Rnd.,S. Albeck (42,M. Richardson (8.7)
1983,NBA,New Jersey Nets*,45,37,0.549,4,1.27,103,1.6,106.1,,105,,Lost E. Conf. Semis,S. Albeck (45,D. Dawkins (7.9)
1982,NBA,New Jersey Nets*,49,33,0.598,3,2.77,104,0.9,101.6,,98.9,,Lost E. Conf. 1st Rnd.,L. Brown (47,B. Williams (11.4)
1981,NBA,New Jersey Nets*,44,38,0.537,3,0.87,103.1,2.2,103,,102.3,,Lost E. Conf. 1st Rnd.,L. Brown (44,B. Williams (8.9)
1980,NBA,New Jersey Nets,24,58,0.293,5,,105.2,3.4,101,,106.7,1.2,,K. Loughery (12,M. Newlin (6.1)
1979,NBA,New Jersey Nets,34,48,0.415,5,,106.1,3,101.5,,102.5,,,K. Loughery (34,M. Newlin (6.5)
1978,NBA,New Jersey Nets*,37,45,0.451,3,,109.5,3.7,98,,101.8,,Lost E. Conf. 1st Rnd.,K. Loughery (37,B. King (6.5)
1977,NBA,New Jersey Nets,24,58,0.293,5,,110.9,4.2,95,,100.2,,,K. Loughery (24,B. King (5.9)
1976,NBA,New York Nets,22,60,0.268,5,,103.7,,92.2,,98.7,,,K. Loughery (22,J. Van Breda Kolff (4.5)
1975,ABA,New York Nets*,55,29,0.655,2,2.56,105.9,,104.4,0.3,101.7,,Won Finals,K. Loughery (55,J. Erving (17.7)
1974,ABA,New York Nets*,58,26,0.69,2,6.58,103.4,0.3,106.3,1.6,98.9,,Lost E. Div. Semis,K. Loughery (58,J. Erving (17.6)
1973,ABA,New York Nets*,55,29,0.655,1,4.8,105,2.4,103.5,0.5,98.4,,Won Finals,K. Loughery (55,J. Erving (16.5)
1972,ABA,New York Nets*,30,54,0.357,4,,104.5,,98.8,,105,3.2,Lost E. Div. Semis,L. Carnesecca (30,B. Paultz (5.6)
1971,ABA,New York Nets*,44,40,0.524,3,0.21,108.8,,102.3,1.7,101.9,1.3,Lost Finals,L. Carnesecca (44,R. Barry (11.1)
1970,ABA,New York Nets*,40,44,0.476,3,,107.3,,103,,103.5,,Lost E. Div. Semis,L. Carnesecca (40,R. Barry (8.1)
1969,ABA,New York Nets*,39,45,0.464,4,,107.2,,100.7,,101.5,,Lost E. Div. Semis,Y. Larese (39,L. Tart (10.9)
1968,ABA,New York Nets,17,61,0.218,5,,109.4,0,98.4,,106.3,2.3,,M. Zaslofsky (17,W. Simon (3.4)
1967,ABA,New Jersey Americans,36,42,0.462,5,,108.2,1.2,102.2,0.9,103.7,2.4,,M. Zaslofsky (36,D. Anderson (7.9)
2017,NBA,Minnesota Timberwolves,22,14,0.611,1,1.23,95.6,,112.6,4.8,110.6,2.8,,T. Thibodeau (22,K. Towns (5.2)
2016,NBA,Minnesota Timberwolves,31,51,0.378,5,,94.6,,110.8,2,112,3.2,,T. Thibodeau (31,K. Towns (12.7)
2015,NBA,Minnesota Timberwolves,29,53,0.354,5,,95.2,,106.5,0.1,110.1,3.7,,S. Mitchell (29,K. Towns (8.3)
2014,NBA,Minnesota Timberwolves,16,66,0.195,5,,94.4,0.5,102.9,,112.2,6.6,,F. Saunders (16,G. Dieng (4.9)
2013,NBA,Minnesota Timberwolves,40,42,0.488,3,3.1,97.3,3.4,108.9,2.2,106.2,,,R. Adelman (40,K. Love (14.3)
2012,NBA,Minnesota Timberwolves,31,51,0.378,5,,92.8,0.8,102.9,,105.4,,,R. Adelman (31,N. Pekovic (6.7)
2011,NBA,Minnesota Timberwolves,26,40,0.394,5,,93.3,2,104.3,,106.6,2,,R. Adelman (26,K. Love (10.0)
2010,NBA,Minnesota Timberwolves,17,65,0.207,5,,96.5,4.4,104.2,,111.1,3.8,,K. Rambis (17,K. Love (11.4)
2009,NBA,Minnesota Timberwolves,15,67,0.183,5,,96.1,3.4,101.7,,111.6,4,,K. Rambis (15,K. Love (4.9)
2008,NBA,Minnesota Timberwolves,24,58,0.293,4,,91.6,,106.1,,111.4,3.1,,R. Wittman (4,K. Love (5.3)
2007,NBA,Minnesota Timberwolves,22,60,0.268,4,,91.9,,103.8,,111.2,3.7,,R. Wittman (22,A. Jefferson (7.7)
2006,NBA,Minnesota Timberwolves,32,50,0.39,4,,91,,103.9,,107.9,1.4,,D. Casey (20,K. Garnett (10.7)
2005,NBA,Minnesota Timberwolves,33,49,0.402,4,,88.8,,102.4,,104.5,,,D. Casey (33,K. Garnett (14.9)
2004,NBA,Minnesota Timberwolves,44,38,0.537,3,1.73,89.1,,108.2,2.1,106.6,0.5,,F. Saunders (25,K. Garnett (16.1)
2003,NBA,Minnesota Timberwolves*,58,24,0.707,1,5.86,89,,105.9,3,99.7,,Lost W. Conf. Finals,F. Saunders (58,K. Garnett (18.3)
2002,NBA,Minnesota Timberwolves*,51,31,0.622,3,2.46,91.9,0.9,106.1,2.5,103.8,0.2,Lost W. Conf. 1st Rnd.,F. Saunders (51,K. Garnett (15.6)
2001,NBA,Minnesota Timberwolves*,50,32,0.61,3,3.58,90.5,,109,4.5,105.3,0.8,Lost W. Conf. 1st Rnd.,F. Saunders (50,K. Garnett (12.8)
2000,NBA,Minnesota Timberwolves*,47,35,0.573,4,1.81,91.8,0.5,105.2,2.2,103.7,0.7,Lost W. Conf. 1st Rnd.,F. Saunders (47,K. Garnett (11.8)
1999,NBA,Minnesota Timberwolves*,50,32,0.61,3,2.67,91.8,,106.1,2,103.4,,Lost W. Conf. 1st Rnd.,F. Saunders (50,K. Garnett (11.6)
1998,NBA,Minnesota Timberwolves*,25,25,0.5,4,,91,2.1,101.9,,101.5,,Lost W. Conf. 1st Rnd.,F. Saunders (25,K. Garnett (5.4)
1997,NBA,Minnesota Timberwolves*,45,37,0.549,3,0.17,92.6,2.3,107.8,2.8,107.1,2.1,Lost W. Conf. 1st Rnd.,F. Saunders (45,K. Garnett (9.6)
1996,NBA,Minnesota Timberwolves*,40,42,0.488,3,,90.7,0.6,105.5,,107.1,0.4,Lost W. Conf. 1st Rnd.,F. Saunders (40,K. Garnett (7.3)
1995,NBA,Minnesota Timberwolves,26,56,0.317,5,,93.5,1.7,104.1,,109.8,2.2,,B. Blair (6,T. Gugliotta (5.3)
1994,NBA,Minnesota Timberwolves,21,61,0.256,6,,91.4,,102.6,,112.4,4.1,,B. Blair (21,C. Laettner (6.2)
1993,NBA,Minnesota Timberwolves,20,62,0.244,5,,94.7,,101.9,,109.2,2.9,,S. Lowe (20,M. Williams (5.6)
1992,NBA,Minnesota Timberwolves,19,63,0.232,5,,93.8,,103.6,,111.8,3.8,,J. Rodgers (6,M. Williams (7.6)
1991,NBA,Minnesota Timberwolves,15,67,0.183,6,,95.1,,105,,112.4,4.2,,J. Rodgers (15,D. West (4.6)
1990,NBA,Minnesota Timberwolves,29,53,0.354,5,,92.3,,106.7,,110.9,3,,B. Musselman (29,P. Richardson (5.9)
1989,NBA,Minnesota Timberwolves,22,60,0.268,6,,91.1,,103.6,,108.2,0.1,,B. Musselman (22,T. Corbin (6.8)
2017,NBA,Oklahoma City Thunder,20,16,0.556,2,3.38,94.9,,107.6,,104.3,,,B. Donovan (20,S. Adams (4.5)
2016,NBA,Oklahoma City Thunder*,47,35,0.573,2,1.14,97.8,1.4,108.3,,107.5,,Lost W. Conf. 1st Rnd.,B. Donovan (47,R. Westbrook (13.1)
2015,NBA,Oklahoma City Thunder*,55,27,0.671,1,7.09,96.7,0.9,113.1,6.7,105.6,,Lost W. Conf. Finals,B. Donovan (55,K. Durant (14.5)
2014,NBA,Oklahoma City Thunder,45,37,0.549,2,2.47,95.7,1.8,107.8,2.2,105.5,,,S. Brooks (45,R. Westbrook (10.6)
2013,NBA,Oklahoma City Thunder*,59,23,0.72,1,6.66,95.4,1.5,110.5,3.8,103.9,,Lost W. Conf. Finals,S. Brooks (59,K. Durant (19.2)
2012,NBA,Oklahoma City Thunder*,60,22,0.732,1,9.15,93.3,1.3,112.4,6.5,102.6,,Lost W. Conf. Semis,S. Brooks (60,K. Durant (18.9)
2011,NBA,Oklahoma City Thunder*,47,19,0.712,1,6.44,93,1.7,109.8,5.2,103.2,,Lost Finals,S. Brooks (47,K. Durant (12.2)
2010,NBA,Oklahoma City Thunder*,55,27,0.671,1,3.81,92.7,0.6,111.2,3.9,107.2,,Lost W. Conf. Finals,S. Brooks (55,K. Durant (12.0)
2009,NBA,Oklahoma City Thunder*,50,32,0.61,4,3.55,93.1,0.4,108.3,0.7,104.6,,Lost W. Conf. 1st Rnd.,S. Brooks (50,K. Durant (16.1)
2008,NBA,Oklahoma City Thunder,23,59,0.28,5,,93.6,1.9,102.9,,109.4,1.1,,P. Carlesimo (1,K. Durant (7.9)
2007,NBA,Seattle SuperSonics,20,62,0.244,5,,96.3,3.9,100.5,,109.5,2,,P. Carlesimo (20,N. Collison (4.5)
2006,NBA,Seattle SuperSonics,31,51,0.378,5,,91.8,,107.2,0.7,110.3,3.8,,B. Hill (31,R. Lewis (7.6)
2005,NBA,Seattle SuperSonics,35,47,0.427,3,,91.6,1.1,111.1,4.9,114.4,8.2,,B. Weiss (13,R. Allen (9.5)
2004,NBA,Seattle SuperSonics*,52,30,0.634,1,2.59,87.9,,112.2,6.1,109.6,3.5,Lost W. Conf. Semis,N. McMillan (52,R. Allen (10.7)
2003,NBA,Seattle SuperSonics,37,45,0.451,5,0.02,89.9,,107.3,4.4,108,5.1,,N. McMillan (37,R. Allen (6.9)
2002,NBA,Seattle SuperSonics,40,42,0.488,5,0.37,88,,103.7,0.1,103.9,0.3,,N. McMillan (40,R. Lewis (7.8)
2001,NBA,Seattle SuperSonics*,45,37,0.549,4,3.24,89,,108.9,4.4,105.6,1.1,Lost W. Conf. 1st Rnd.,N. McMillan (45,G. Payton (12.6)
2000,NBA,Seattle SuperSonics,44,38,0.537,5,0.55,91.6,0.3,105.6,2.6,105.6,2.6,,P. Westphal (6,G. Payton (10.8)
1999,NBA,Seattle SuperSonics*,45,37,0.549,4,1.17,93.4,0.3,105.6,1.5,104.6,0.5,Lost W. Conf. 1st Rnd.,P. Westphal (45,G. Payton (13.9)
1998,NBA,Seattle SuperSonics,25,25,0.5,5,,89.6,0.7,105,2.8,106.2,4,,P. Westphal (25,G. Payton (7.2)
1997,NBA,Seattle SuperSonics*,61,21,0.744,1,6.33,89.8,,111.6,6.6,103.6,,Lost W. Conf. Semis,G. Karl (61,G. Payton (12.5)
1996,NBA,Seattle SuperSonics*,57,25,0.695,1,6.91,90.3,0.2,111.2,4.5,102.7,,Lost W. Conf. Semis,G. Karl (57,G. Payton (12.9)
1995,NBA,Seattle SuperSonics*,64,18,0.78,1,7.4,93.8,2,110.3,2.7,102.1,,Lost Finals,G. Karl (64,G. Payton (11.5)
1994,NBA,Seattle SuperSonics*,57,25,0.695,2,7.91,95.5,2.6,114.8,6.5,106.3,,Lost W. Conf. 1st Rnd.,G. Karl (57,D. Schrempf (12.9)
1993,NBA,Seattle SuperSonics*,63,19,0.768,1,8.68,95.1,0,111.1,4.8,101.5,,Lost W. Conf. 1st Rnd.,G. Karl (63,S. Kemp (11.7)
1992,NBA,Seattle SuperSonics*,55,27,0.671,2,6.66,96,,112.3,4.3,104.9,,Lost W. Conf. Finals,G. Karl (55,S. Kemp (9.1)
1991,NBA,Seattle SuperSonics*,47,35,0.573,4,1.86,95.4,,110.7,2.5,108.8,0.6,Lost W. Conf. Semis,K. Jones (18,R. Pierce (7.8)
1990,NBA,Seattle SuperSonics*,41,41,0.5,5,1.31,96.2,,109.7,1.8,108.5,0.6,Lost W. Conf. 1st Rnd.,K. Jones (41,D. McKey (6.4)
1989,NBA,Seattle SuperSonics,41,41,0.5,4,1.4,95.3,,110.9,2.8,109.8,1.7,,B. Bickerstaff (41,M. Cage (6.8)
1988,NBA,Seattle SuperSonics*,47,35,0.573,3,2.44,100.1,,111.5,3.7,108.6,0.8,Lost W. Conf. Semis,B. Bickerstaff (47,D. Ellis (10.8)
1987,NBA,Seattle SuperSonics*,44,38,0.537,3,1.29,100.2,0.6,110.2,2.2,108.1,0.1,Lost W. Conf. 1st Rnd.,B. Bickerstaff (44,D. Ellis (9.0)
1986,NBA,Seattle SuperSonics*,39,43,0.476,4,0.08,101.8,1,110.7,2.4,110.3,2,Lost W. Conf. Finals,B. Bickerstaff (39,D. Ellis (9.3)
1985,NBA,Seattle SuperSonics,31,51,0.378,5,,97.4,,105.9,,106,,,B. Bickerstaff (31,J. Sikma (7.8)
1984,NBA,Seattle SuperSonics,31,51,0.378,4,,99.3,,102.8,,108.2,0.3,,L. Wilkens (31,J. Sikma (8.3)
1983,NBA,Seattle SuperSonics*,42,40,0.512,3,,99.7,,107.9,0.3,108.1,0.5,Lost W. Conf. 1st Rnd.,L. Wilkens (42,J. Sikma (9.7)
1982,NBA,Seattle SuperSonics*,48,34,0.585,3,2.88,103.2,0.1,105.9,1.2,102.8,,Lost W. Conf. 1st Rnd.,L. Wilkens (48,J. Sikma (9.8)
1981,NBA,Seattle SuperSonics*,52,30,0.634,2,3.69,100,,106.4,,102.3,,Lost W. Conf. Semis,L. Wilkens (52,J. Sikma (12.6)
1980,NBA,Seattle SuperSonics,34,48,0.415,6,,100.3,,103.2,,104.8,,,L. Wilkens (34,J. Sikma (8.0)
1979,NBA,Seattle SuperSonics*,56,26,0.683,2,4.24,101.8,,105.8,0.5,101.2,,Lost W. Conf. Finals,L. Wilkens (56,G. Williams (11.6)
1978,NBA,Seattle SuperSonics*,52,30,0.634,1,2.69,103.4,,102.7,,100.1,,Won Finals,L. Wilkens (52,J. Sikma (8.8)
1977,NBA,Seattle SuperSonics*,47,35,0.573,3,1.48,104.8,,99.2,,97.7,,Lost Finals,B. Hopkins (5,M. Webster (8.7)
