YEAR,GP,MIN,"%FGA2PT","%FGA3PT","%PTS2PT","%PTS2PT MR","%PTS3PT","%PTSFBPS","%PTSFT","%PTSOFF TO","%PTSPITP","2FGM%AST","2FGM%UAS","3FGM%AST","3FGM%UAST","FGM%AST","FGM%UAST",TEAM
2001,82,48.2,81.9,18.1,64.3,21.9,16.5,15.8,19.3,18,42.4,52.5,47.5,83.9,16.1,57,43,Hawks
2000,82,48.1,86,14,68.2,28.3,13.4,12.1,18.4,16.8,39.8,50.7,49.3,81.1,18.9,54.2,45.8,Hawks
1999,82,48.4,88,12,70.9,31.4,10,14.7,19.1,13.9,39.5,48.9,51.1,80.6,19.4,51.6,48.4,Hawks
1997,82,48.5,84,16,64.9,23.7,12.9,11.4,22.3,16.1,41.1,51.6,48.4,74.8,25.2,54.3,45.7,Hawks
1996,82,48.3,70.9,29.1,55.4,18.3,25.4,9.4,19.2,18.8,37,50.5,49.5,71.2,28.8,55.4,44.6,Hawks
2020,72,48.3,61.8,38.2,49.9,7.8,32.8,8.8,17.3,12.9,42,50.4,49.6,79.1,20.9,59.1,40.9,Hawks
2019,67,48.6,60.2,39.8,51.2,6.1,32.3,11.5,16.5,15,45.1,52.5,47.5,74.3,25.7,58.9,41.1,Hawks
2011,66,49,75.1,24.9,60.8,19.5,23.2,16.4,16.1,17.7,41.3,53.2,46.8,91.5,8.5,61,39,Hawks
1998,50,48.3,82.9,17.1,62.2,23.6,13.7,12.1,24.1,16.3,38.6,47.7,52.3,71.6,28.4,50.7,49.3,Hawks
2021,82,48.5,57.5,42.5,49.2,7.6,35.5,9.9,15.2,14.6,41.6,51.2,48.8,81.3,18.7,60.9,39.1,Celtics
2018,82,48.2,61.9,38.1,52.5,12.7,33.6,14.5,13.9,16.1,39.8,52.7,47.3,85.4,14.6,62.4,37.6,Celtics
2017,82,48.3,64.3,35.7,51.6,13.4,33,9.1,15.3,14.8,38.3,49,51,81.3,18.7,58.6,41.4,Celtics
2016,82,48.2,60.7,39.3,49.3,10.6,33.4,11.5,17.3,15.1,38.7,57,43,83.7,16.3,65.3,34.7,Celtics
2015,82,48.2,70.7,29.3,57.7,14.2,24.8,15.4,17.5,17.8,43.4,54.6,45.4,85.9,14.1,61.6,38.4,Celtics
2014,82,48.5,72,28,60.9,19.7,23.8,13.7,15.2,17.1,41.2,56.5,43.5,87.7,12.3,62.9,37.1,Celtics
2013,82,48.1,74.9,25.1,61.4,22.1,21.9,12.5,16.8,16.5,39.3,51.1,48.9,85.2,14.8,57.6,42.4,Celtics
2010,82,48.2,82,18,66.1,23.1,15.5,13,18.4,16.7,43,59.7,40.3,88.2,11.8,63.5,36.5,Celtics
2009,82,48.2,77.2,22.8,62.4,18,18.4,14.4,19.2,17.5,44.5,58.5,41.5,89,11,63.5,36.5,Celtics
2008,82,48.5,78.6,21.4,61.3,19.9,19.5,11.6,19.2,17.1,41.4,54.1,45.9,91.1,8.9,60.6,39.4,Celtics
2007,82,48.2,75.1,24.9,58,19.3,21.7,11,20.3,18.8,38.6,54.9,45.1,87.4,12.6,61.4,38.6,Celtics
2006,82,48.4,80.1,19.9,60.8,20.1,18,12.5,21.3,18.1,40.7,49.9,50.1,93,7,57,43,Celtics
2005,82,48.5,79.6,20.4,61.8,21.4,17.4,12.4,20.7,15.7,40.4,52.3,47.7,89.5,10.5,58.1,41.9,Celtics
2004,82,48.5,80.8,19.2,62.8,19.8,15.8,14.6,21.4,17.5,43,54.3,45.7,89.9,10.1,59.4,40.6,Celtics
2003,82,48.1,75.1,24.9,58.6,21.7,21.2,12.5,20.1,19.4,36.9,52.4,47.6,87.5,12.5,59.2,40.8,Celtics
2002,82,48.4,66.9,33.1,52.1,14.9,28.4,9.6,19.5,18.5,37.2,49.6,50.4,82.3,17.7,58.3,41.7,Celtics
2001,82,48.4,71.1,28.9,54.5,17.8,26.5,12.9,19,17.5,36.7,51.2,48.8,88.6,11.4,60.4,39.6,Celtics
2000,82,48.4,74.8,25.2,56.2,18.6,22.9,10.7,20.9,19,37.7,53.2,46.8,92.6,7.4,61.6,38.4,Celtics
1999,82,48.1,81.7,18.3,64.7,21.8,15.4,13,19.9,18.4,42.9,51.5,48.5,91.6,8.4,57,43,Celtics
1997,82,48.1,82,18,66,22.9,15.8,15.9,18.1,23.2,43.1,56.9,43.1,81.4,18.6,60.3,39.7,Celtics
1996,82,48.5,80.9,19.1,63,18.2,17,16.4,20,20.3,44.9,54.2,45.8,82.2,17.8,58.4,41.6,Celtics
2012,81,49,78.5,21.5,64,24.6,19.1,13.8,16.9,17.3,39.4,55.5,44.5,91.4,8.6,61.4,38.6,Celtics
