YEAR,GP,MIN,"%FGA2PT","%FGA3PT","%PTS2PT","%PTS2PT MR","%PTS3PT","%PTSFBPS","%PTSFT","%PTSOFF TO","%PTSPITP","2FGM%AST","2FGM%UAS","3FGM%AST","3FGM%UAST","FGM%AST","FGM%UAST",TEAM
2010,82,48.1,72.6,27.4,59,21.9,23.5,14.8,17.5,15.2,37.1,56.5,43.5,90.5,9.5,63.7,36.3,Mavericks
2009,82,48.5,77.8,22.2,61.7,24.5,20,15.7,18.2,16.1,37.2,55.6,44.4,86.4,13.6,61.1,38.9,Mavericks
2008,82,48.3,75.9,24.1,61.3,26.7,20.5,14.9,18.2,15.1,34.6,50.6,49.4,85.1,14.9,56.9,43.1,Mavericks
2007,82,48.1,78.5,21.5,61.5,26.1,18,14.5,20.5,14.4,35.3,50.3,49.7,90.3,9.7,56.9,43.1,Mavericks
2006,82,48.2,78.2,21.8,60.4,25,19.6,13.4,20.1,17,35.3,46.9,53.1,88,12,54.2,45.8,Mavericks
2005,82,48.5,82.5,17.5,62.3,24.3,15.4,13.8,22.4,16.2,38,43.5,56.5,89.4,10.6,50,50,Mavericks
2004,82,48.1,81,19,61.7,24.1,16.5,14.4,21.7,17.7,37.7,47.2,52.8,83.4,16.6,52.6,47.4,Mavericks
2003,82,48.3,79.9,20.1,65.3,22.1,17.6,16.7,17.1,16.4,43.1,54.8,45.2,82.8,17.2,59.1,40.9,Mavericks
2002,82,48.2,76.1,23.9,59.8,22.9,22.6,13.9,17.6,17.4,36.9,51.5,48.5,84.3,15.7,58.1,41.9,Mavericks
2001,82,48.5,76.3,23.7,59.8,22.2,21.6,15.2,18.6,15.2,37.6,51,49,79.9,20.1,56.6,43.4,Mavericks
2000,82,48.3,79.8,20.2,62.3,23.3,18.8,15.2,18.8,16.6,39,51.3,48.7,81.6,18.4,56.4,43.6,Mavericks
1999,82,48.1,81.2,18.8,64.4,27.9,18.7,15.5,16.9,17.7,36.5,50.3,49.7,89.4,10.6,56.7,43.3,Mavericks
1997,82,48.5,82.5,17.5,65.7,29.5,16.9,15.1,17.5,17.8,36.2,47.5,52.5,87,13,53.3,46.7,Mavericks
1996,82,48.3,79.6,20.4,64.2,21,17.3,14.9,18.5,18.3,43.2,54.4,45.6,85.3,14.7,59.1,40.9,Mavericks
2019,75,48.5,54.3,45.7,45.3,7,38.8,10,15.9,12.4,38.3,48.3,51.7,78.3,21.7,59.2,40.8,Mavericks
2020,72,48.1,56.4,43.6,48.5,9.2,36.8,10.1,14.6,12.9,39.3,44.5,55.5,77.8,22.2,55.7,44.3,Mavericks
2011,66,48.7,72.9,27.1,60.1,21.2,23.6,12.5,16.3,17.7,39,50.9,49.1,82.9,17.1,57.5,42.5,Mavericks
1998,50,48.3,85.2,14.8,67.5,27.8,13.2,14.7,19.2,16.5,39.7,48.3,51.7,86.1,13.9,52.7,47.3,Mavericks
2021,82,48.3,58.4,41.6,51.4,7.7,33.7,12,14.8,13.8,43.7,58.4,41.6,85.7,14.3,66.7,33.3,Nuggets
2018,82,48.1,65.2,34.8,55.9,8.8,29.9,11.4,14.3,14.2,47.1,57.1,42.9,88.3,11.7,65.3,34.7,Nuggets
2017,82,48.5,64.3,35.7,53.2,8.6,31.3,12.2,15.6,15.4,44.5,52.6,47.4,84.8,15.2,61.7,38.3,Nuggets
2016,82,48.2,67.1,32.9,54.7,10.1,28.5,12.7,16.8,12.6,44.6,52.6,47.4,87.1,12.9,61.5,38.5,Nuggets
2015,82,48.4,72.3,27.7,58.3,13.3,23.6,13.9,18.1,15.4,45,54.3,45.7,81.4,18.6,60.1,39.9,Nuggets
2014,82,48.5,71.6,28.4,58.6,14.4,23.8,14.8,17.6,16.7,44.3,50.6,49.4,83.9,16.1,57.7,42.3,Nuggets
2013,82,48.2,72.2,27.8,57.1,12.8,24.6,15,18.3,15.8,44.4,51.8,48.2,81.5,18.5,58.4,41.6,Nuggets
2012,82,48.5,78.3,21.7,64.8,10.1,18,19,17.3,18.7,54.7,55.1,44.9,86.2,13.8,60,40,Nuggets
2010,82,48.1,74.2,25.8,56.4,15.1,22.5,13.1,21.1,15.1,41.3,49.7,50.3,87.5,12.5,57.6,42.4,Nuggets
2009,82,48.2,77.3,22.7,59.1,18.6,18.7,14.2,22.2,16.9,40.5,50.3,49.7,77.2,22.8,55,45,Nuggets
2008,82,48.1,77.3,22.7,58.7,16.6,19.2,16.1,22.1,17.3,42.1,55.5,44.5,77.7,22.3,59.5,40.5,Nuggets
2007,82,48.4,77.2,22.8,60.3,18.2,18.8,17.2,20.8,16.3,42.1,55.1,44.9,90.7,9.3,61.2,38.8,Nuggets
2006,82,48.2,78.8,21.2,62,17.8,16.8,17.7,21.1,18.4,44.3,55,45,92.4,7.6,60.7,39.3,Nuggets
2005,82,48.6,83.9,16.1,66.3,23.6,12.8,20.2,20.9,18,42.8,59.1,40.9,88.6,11.4,62.4,37.6,Nuggets
2004,82,48.2,85.8,14.2,66.6,22.9,11.8,19.4,21.6,18.5,43.7,61.7,38.3,87.8,12.2,64.5,35.5,Nuggets
2003,82,48.1,85.4,14.6,66.8,23.5,12.5,20.4,20.8,18.9,43.3,57.4,42.6,80.1,19.9,59.9,40.1,Nuggets
2002,82,48.1,87.4,12.6,71.3,26.7,10,13.4,18.8,19.9,44.6,62.9,37.1,82.5,17.5,64.6,35.4,Nuggets
2001,82,48.3,81.3,18.7,65.9,24,16.8,15.1,17.3,16.2,42,58.6,41.4,84.2,15.8,62.3,37.7,Nuggets
2000,82,48.2,79,21,62.3,21.9,19.4,15.8,18.3,15.2,40.4,62,38,86.1,13.9,66.1,33.9,Nuggets
1999,82,48.4,79.8,20.2,63.8,22.2,17.4,15.2,18.9,15.9,41.6,59.6,40.4,78.5,21.5,62.5,37.5,Nuggets
1997,82,48.1,86.1,13.9,65.5,27.8,11.8,14.5,22.7,18.1,37.7,55.1,44.9,79.9,20.1,57.8,42.2,Nuggets
1996,82,48.6,74.4,25.6,57.3,21.4,23.8,12.4,18.9,14.4,35.9,59.5,40.5,82.1,17.9,64.4,35.6,Nuggets
2019,73,48.6,65.6,34.4,55.8,11.1,29.6,10.6,14.6,14.9,44.7,56,44,85.3,14.7,63.6,36.4,Nuggets
2020,72,48.6,61.7,38.3,52.8,9.6,33.6,10.8,13.6,15.6,43.2,52.3,47.7,85.1,14.9,62.1,37.9,Nuggets
2011,66,48.6,75.7,24.3,62.2,10.9,19,19,18.8,18.1,51.3,55.3,44.7,92,8,61.5,38.5,Nuggets
1998,50,48.1,76.9,23.1,59,21.1,19.4,12.2,21.6,15.2,37.9,53.6,46.4,76.2,23.8,57.6,42.4,Nuggets
2021,82,48.2,60.9,39.1,51.3,7.8,32.3,10,16.4,16.2,43.5,49.8,50.2,89.3,10.7,61.5,38.5,Pistons
2018,82,48.4,60.6,39.4,49.9,8.1,33.9,9.4,16.1,14.8,41.9,46.5,53.5,83.1,16.9,57.9,42.1,Pistons
2017,82,48.3,66.7,33.3,54.6,12.6,31.2,10.4,14.2,16,42,46.5,53.5,88.9,11.1,58.2,41.8,Pistons
2016,82,48.3,73.7,26.3,63.5,20.9,22.8,11.8,13.7,14.7,42.6,45.5,54.5,84.5,15.5,53,47,Pistons
2015,82,48.5,69.7,30.3,56.7,14.1,26.6,10.9,16.7,15.1,42.7,42.2,57.8,80.3,19.7,51.2,48.8,Pistons
2014,82,48.4,71,29,57.9,12.5,26.1,13.6,16,16.1,45.4,51.2,48.8,81.5,18.5,58.2,41.8,Pistons
2013,82,48.2,77.8,22.2,64.6,13.2,18.4,16.7,17.1,17.9,51.3,49.3,50.7,77.9,22.1,53.9,46.1,Pistons
2012,82,48.3,78.3,21.7,63.4,14.3,19.8,14.6,16.8,16.2,49.1,51.4,48.6,92.6,7.4,58.5,41.5,Pistons
2010,82,48.5,81.1,18.9,65,23.1,17.8,13.5,17.2,17,41.9,50.7,49.3,89.2,10.8,56.6,43.4,Pistons
2009,82,48.2,82,18,66.6,25.8,14.6,13.7,18.9,18.1,40.8,49,51,89,11,54.1,45.9,Pistons
2008,82,48.5,83.5,16.5,67.4,30.8,14.6,10.5,18,14.2,36.6,51,49,95.5,4.5,56.7,43.3,Pistons
2007,82,48.1,79.7,20.3,62.9,29.7,18.3,11.8,18.9,15.9,33.1,56.6,43.4,84.2,15.8,61.1,38.9,Pistons
2006,82,48.5,79.9,20.1,63.3,26.6,17.1,11.1,19.6,17.5,36.8,56.1,43.9,82.2,17.8,60.1,39.9,Pistons
2005,82,48.4,77.9,22.1,61.1,27.8,21,12.4,17.9,16.3,33.3,62.9,37.1,79.7,20.3,66.1,33.9,Pistons
2004,82,48.7,83.6,16.4,65,26.1,14.2,13.6,20.8,16.7,39,59.2,40.8,86.5,13.5,62.7,37.3,Pistons
2003,82,48.2,84.7,15.3,65.3,22.4,13.5,13.6,21.1,18.5,42.9,59.2,40.8,81.7,18.3,62,38,Pistons
2002,82,48.5,76.3,23.7,57.8,23.3,21.3,11.2,20.8,16.6,34.6,55.3,44.7,79.2,20.8,60,40,Pistons
2001,82,48,76.1,23.9,58.9,22.2,22,12.7,19.1,17.9,36.7,55.5,44.5,88.4,11.6,62,38,Pistons
2000,82,48.4,83.8,16.2,64.6,28,14.9,16.1,20.5,17.5,36.5,51.3,48.7,84.8,15.2,55.8,44.2,Pistons
1999,82,48.4,81.6,18.4,61.4,24,15.5,16,23.1,17.9,37.4,50,50,92,8,56.1,43.9,Pistons
1997,82,48.7,85.3,14.7,66.5,24.1,11.4,14.3,22.1,18.4,42.5,52.5,47.5,84.3,15.7,55.8,44.2,Pistons
1996,82,48.4,75.4,24.6,58.1,21.1,22.6,11.1,19.3,18.4,37,45.9,54.1,89.9,10.1,55,45,Pistons
2020,72,48.4,61.5,38.5,50.8,6.4,32.5,10,16.6,15.5,44.5,50.9,49.1,90.1,9.9,62.6,37.4,Pistons
2019,66,48.4,61.9,38.1,51,6,33.5,10.2,15.5,14.8,45,49.9,50.1,87.1,12.9,61.2,38.8,Pistons
2011,66,48.4,82.5,17.5,65.8,20.2,15.9,14.8,18.3,17.3,45.6,48.8,51.2,84.9,15.1,53.8,46.2,Pistons
1998,50,48.2,81.7,18.3,62.5,23.4,16.5,13.3,21,19,39.1,55.1,44.9,93.1,6.9,60.8,39.2,Pistons
2021,82,48.1,54.4,45.6,47.2,6.9,38.8,12.4,14.1,15.9,40.2,59.5,40.5,80.4,19.6,66.9,33.1,Warriors
2018,82,48.3,61.6,38.4,52.3,15.6,33.8,16.2,13.9,13.8,36.7,61,39,80.3,19.7,66.8,33.2,Warriors
2017,82,48.1,66.1,33.9,55.5,16.7,29.9,17,14.6,15.2,38.9,64.3,35.7,80.1,19.9,68.5,31.5,Warriors
2016,82,48.2,64.1,35.9,53.7,13.4,31,19.5,15.3,16.7,40.2,65.6,34.4,83.4,16.6,70.5,29.5,Warriors
2015,82,48.5,63.8,36.2,51.2,12.4,34.3,18.2,14.5,14.8,38.8,62.6,37.4,80.1,19.9,68,32,Warriors
2014,82,48.1,68.9,31.1,56.1,14.9,29.4,19,14.6,17.9,41.2,60.2,39.8,82.2,17.8,65.9,34.1,Warriors
2013,82,48.4,70.9,29.1,57.6,15.9,27.2,14.5,15.2,16.4,41.7,53.9,46.1,75.5,24.5,59.1,40.9,Warriors
2012,82,48.3,76.1,23.9,59.6,21.7,23.8,14.6,16.6,13.8,37.9,54.2,45.8,76.9,23.1,58.9,41.1,Warriors
2010,82,48.4,75.2,24.8,60.5,19.3,24.2,18.2,15.2,18.9,41.2,48.9,51.1,86.6,13.4,56.8,43.2,Warriors
2009,82,48.1,76.2,23.8,60.4,22.2,21.3,21.8,18.3,19.5,38.2,48.1,51.9,85.8,14.2,55.2,44.8,Warriors
2008,82,48.5,79.1,20.9,60.2,20.5,18.5,16.9,21.3,15.2,39.7,46.8,53.2,82.7,17.3,53,47,Warriors
2007,82,48.2,70.5,29.5,58,14.3,25.1,20.7,16.9,18,43.7,45.9,54.1,81.5,18.5,53.9,46.1,Warriors
2006,82,48.2,72.1,27.9,58.6,14.7,24,19.2,17.3,19.9,44,52.5,47.5,86.6,13.4,59.8,40.2,Warriors
2005,82,48.4,73,27,57.3,17.9,23.2,14.2,19.5,15.9,39.4,51.9,48.1,78.9,21.1,57.6,42.4,Warriors
2004,82,48.5,74.8,25.2,59.4,21.4,23.1,13.9,17.4,16.5,38,54.2,45.8,81.4,18.6,59.8,40.2,Warriors
2003,82,48.4,80.3,19.7,64,20.6,16.8,9.3,19.2,16.5,43.4,52.6,47.4,91.8,8.2,58.5,41.5,Warriors
2002,82,48.2,82.2,17.8,62.8,21.2,15.2,13.5,22.1,14.5,41.5,51.7,48.3,81.9,18.1,55.9,44.1,Warriors
2001,82,48.2,85.8,14.2,66.9,19.8,12,15,21.1,16.9,47.1,53.2,46.8,88.1,11.9,56.9,43.1,Warriors
2000,82,48.2,86.6,13.4,70,26.8,11.2,14.9,18.8,19,43.2,58.8,41.2,80.9,19.1,60.9,39.1,Warriors
1999,82,48.2,85,15,67.7,23.8,13.2,16.2,19.1,18,43.8,59.5,40.5,79.1,20.9,61.8,38.2,Warriors
1997,82,48.4,89.9,10.1,73.4,31.3,7.8,13.1,18.8,16.8,42.1,58.4,41.6,83.1,16.9,60,40,Warriors
1996,82,48.5,79.2,20.8,61.6,20.7,17.7,9.7,20.8,17.3,40.8,57.8,42.2,76.5,23.5,60.8,39.2,Warriors
2020,72,48.1,56.1,43.9,47,7.1,38.4,12.7,14.6,15.3,39.9,59.5,40.5,80.6,19.4,67,33,Warriors
2011,66,48.2,75.2,24.8,60.9,22,24.4,13.3,14.7,16.5,38.9,51.6,48.4,87,13,59.1,40.9,Warriors
2019,65,48.4,64.5,35.5,53,11.8,29.4,12.9,17.6,16,41.2,59.7,40.3,84.1,15.9,66.3,33.7,Warriors
1998,50,48.5,86.5,13.5,71,29.8,11,15,18,17.3,41.3,57.5,42.5,83.3,16.7,59.9,40.1,Warriors
2021,82,48.2,55.2,44.8,47.2,2.7,36.8,11.1,15.9,14.7,44.5,50.2,49.8,78.4,21.6,59.8,40.2,Rockets
2018,82,48.4,48.1,51.9,40.6,3.6,42.5,10.6,16.9,15.8,37,48.2,51.8,62.6,37.4,54.1,45.9,Rockets
2017,82,48.2,49.8,50.2,41.6,5.4,40.9,10.2,17.5,15.5,36.2,47,53,68.9,31.1,55.7,44.3,Rockets
2016,82,48.2,53.8,46.2,44.9,4.4,37.5,14.5,17.6,16.2,40.5,54.6,45.4,77.1,22.9,62.6,37.4,Rockets
2015,82,48.4,63,37,50.7,7.8,30.1,17,19.1,17.7,42.9,50.8,49.2,79.3,20.7,58.9,41.1,Rockets
2014,82,48.3,60.8,39.2,49.3,5.7,32.8,18,17.9,18.2,43.6,49.7,50.3,83.3,16.7,60,40,Rockets
2013,82,48.4,67,33,53,5.7,26.5,17.1,20.5,15,47.3,47.2,52.8,83.4,16.6,56.3,43.7,Rockets
2012,82,48.2,65.1,34.9,52,8.3,29.9,17.6,18.1,17,43.6,52,48,84.1,15.9,60.9,39.1,Rockets
2010,82,48.5,73.6,26.4,57.4,16.9,23.4,14.2,19.2,16.1,40.6,55.3,44.7,85.1,14.9,61.7,38.3,Rockets
2009,82,48.5,73.5,26.5,58.3,15.3,23.1,14.3,18.6,16.5,43,50.7,49.3,85,15,57.9,42.1,Rockets
2008,82,48.3,74.6,25.4,57.9,17.2,23.1,8.9,19,13.8,40.7,49.2,50.8,82.4,17.6,56.2,43.8,Rockets
2007,82,48.1,74.5,25.5,61,19.8,22.1,8.4,16.9,15.4,41.3,52.2,47.8,84.6,15.4,58.5,41.5,Rockets
2006,82,48.4,71,29,55.4,19,26.6,7.6,18.1,15.7,36.4,51.8,48.2,80,20,58.6,41.4,Rockets
2005,82,48.4,77.4,22.6,60.6,23,19,8.8,20.3,16.2,37.6,53.1,46.9,83.2,16.8,58.3,41.7,Rockets
2004,82,48.4,76.3,23.7,58.8,24.5,21.3,10,19.9,15.7,34.3,56.1,43.9,80.8,19.2,60.9,39.1,Rockets
2003,82,48.6,77.3,22.7,60.4,23.7,21,8.7,18.6,16,36.7,51.2,48.8,85.4,14.6,57.7,42.3,Rockets
2002,82,48.6,80.4,19.6,62.5,21.4,17.1,12.3,20.4,16.2,41,46.6,53.4,87.9,12.1,53,47,Rockets
2001,82,48.7,77.7,22.3,61.8,24.2,19.7,9.7,18.5,14.5,37.6,45.7,54.3,82.9,17.1,52.2,47.8,Rockets
2000,82,48.4,78.3,21.7,61.2,20.3,19,11.2,19.8,15.1,40.9,49.8,50.2,79.2,20.8,54.8,45.2,Rockets
1999,82,48.4,75.6,24.4,59.3,15.6,21.4,15.3,19.3,15.7,43.7,54,46,80.6,19.4,59.1,40.9,Rockets
1997,82,48.4,74.4,25.6,58.6,18.8,21.2,12.7,20.2,16.4,39.8,55.2,44.8,85.5,14.5,61.1,38.9,Rockets
1996,82,48.4,71.6,28.4,57.4,14.7,24.4,11.9,18.2,16.3,42.6,61.5,38.5,83.3,16.7,66.3,33.7,Rockets
2020,72,48.1,54.1,45.9,46.8,3.9,38,10.2,15.2,16.6,42.9,48.6,51.4,81.4,18.6,60.1,39.9,Rockets
2019,72,48.3,49.9,50.1,42.7,3.7,39.8,12.4,17.5,16.1,38.9,43,57,69.2,30.8,53,47,Rockets
2011,66,48.7,76,24,62.1,20.4,22.2,13.9,15.7,17.2,41.7,50.4,49.6,81.6,18.4,56.4,43.6,Rockets
1998,50,48.3,75.9,24.1,60.2,17.7,21.4,13.3,18.4,15.5,42.5,54.3,45.7,85.4,14.6,60.3,39.7,Rockets
2021,82,48.5,60.5,39.5,52.5,7.9,32.7,11.9,14.7,13,44.6,51,49,86,14,61.2,38.8,Pacers
2018,82,48.1,70.8,29.2,59,13.7,26.4,13.5,14.7,17.6,45.2,55.7,44.3,86.4,13.6,62.8,37.2,Pacers
2017,82,48.2,71.6,28.4,60.2,17.8,25.7,14,14.2,17.3,42.4,46.5,53.5,81.9,18.1,54.4,45.6,Pacers
2016,82,48.4,72.8,27.2,58.3,18.4,24.7,10.1,17,15.8,39.8,49.8,50.2,83.6,16.4,57.2,42.8,Pacers
2015,82,48.5,73,27,59.2,19.2,23.7,13.1,17.1,18.5,40,48.7,51.3,80.4,19.6,55.4,44.6,Pacers
2014,82,48.4,74.5,25.5,59.8,21.7,23,9.8,17.2,14.6,38.1,51.6,48.4,85.8,14.2,58.6,41.4,Pacers
2013,82,48.2,76.5,23.5,60.5,20.8,20.8,9.9,18.7,16.1,39.7,49.8,50.2,83.1,16.9,56,44,Pacers
2010,82,48.2,75.6,24.4,59.1,20.6,21.4,13.9,19.5,15.4,38.5,45,55,89.2,10.8,53.6,46.4,Pacers
2009,82,48.1,72.2,27.8,57.1,19.3,23.9,13.1,18.9,15.7,37.9,47.4,52.6,92.6,7.4,57.3,42.7,Pacers
2008,82,48.4,75.6,24.4,59.6,20.1,22.7,12.7,17.7,14.4,39.5,45.4,54.6,93.3,6.7,55.1,44.9,Pacers
2007,82,48.2,71.1,28.9,55,19.4,26.6,12.8,18.4,16.3,35.6,49.6,50.4,92.7,7.3,60.1,39.9,Pacers
2006,82,48.2,78.8,21.2,61,22.6,18.4,12.2,20.6,17.9,38.4,52.2,47.8,89.8,10.2,58.5,41.5,Pacers
2005,82,48.1,75.5,24.5,58.4,20.8,20.9,9.1,20.7,14.8,37.6,53.1,46.9,81.5,18.5,58.5,41.5,Pacers
2004,82,48.5,74.5,25.5,55.8,21.2,21.3,8.6,22.9,16,34.5,48.1,51.9,86,14,55.8,44.2,Pacers
2003,82,48.3,79.7,20.3,61.5,22.8,18,11.8,20.5,18.7,38.6,60,40,87.1,12.9,64.4,35.6,Pacers
2002,82,48.5,83.1,16.9,63.8,24.1,14.3,15.1,21.9,17.1,39.6,62.3,37.7,87.6,12.4,65.6,34.4,Pacers
2001,82,48.5,81.8,18.2,63.7,25.4,15.3,16.3,20.9,15.9,38.3,60.1,39.9,89.6,10.4,64.2,35.8,Pacers
2000,82,48.7,82,18,64.1,28.1,15.7,12,20.3,15.6,36,58,42,88.9,11.1,62.3,37.7,Pacers
1999,82,48.1,77.6,22.4,59.3,24.2,21.1,13.5,19.6,15,35.1,53.9,46.1,90.9,9.1,60.9,39.1,Pacers
1997,82,48.4,83.5,16.5,64,25.9,15.3,14.6,20.7,18.7,38.1,60.5,39.5,91,9,64.7,35.3,Pacers
1996,82,48.6,81.9,18.1,61.9,20.8,16.5,13.4,21.6,17.3,41.1,57.9,42.1,80.9,19.1,61.4,38.6,Pacers
2012,81,48.4,75.5,24.5,59.7,17.6,21.7,12.4,18.6,16,42.1,51.3,48.7,84.7,15.3,57.8,42.2,Pacers
2019,73,48.3,68.3,31.7,58.4,13.3,27.9,11.7,13.7,15.8,45.1,53.3,46.7,86.7,13.3,61.4,38.6,Pacers
2020,72,48.5,62.8,37.2,53.6,6.8,32.1,14.4,14.2,15.6,46.8,53.5,46.5,88,12,63.3,36.7,Pacers
2011,66,48.5,80.2,19.8,60.8,18.7,18.2,13.4,20.9,16.8,42.2,45.5,54.5,85.5,14.5,52.2,47.8,Pacers
1998,50,48.4,79.3,20.7,60.7,25.9,18.6,9.7,20.6,14.8,34.8,52,48,87.8,12.2,58.1,41.9,Pacers
2021,82,48.2,60.9,39.1,50.3,10.3,35.3,10.9,14.3,14.2,40.1,50.3,49.7,80.5,19.5,59.9,40.1,Clippers
2018,82,48.4,70.5,29.5,54.3,9.8,26.1,12.4,19.6,13.5,44.5,49.7,50.3,84.9,15.1,58.2,41.8,Clippers
2017,82,48.1,68.6,31.4,56.5,8.6,26.1,12.2,17.4,14.5,47.9,50.2,49.8,72.6,27.4,55.5,44.5,Clippers
2016,82,48.2,67.1,32.9,53.9,17.1,28.3,12.8,17.8,14,36.7,49.4,50.6,78.6,21.4,57,43,Clippers
2015,82,48.4,67.6,32.4,54.7,18.6,27.9,12.3,17.4,16.2,36.1,52.6,47.4,80.2,19.8,59.6,40.4,Clippers
2014,82,48.1,67.8,32.2,54.9,19.8,28.4,13.3,16.8,14.7,35.1,56.3,43.7,82.2,17.8,62.9,37.1,Clippers
2013,82,48.2,70.9,29.1,56.8,17.9,23.5,17.3,19.7,18,38.9,56.8,43.2,84.7,15.3,62.8,37.2,Clippers
2012,82,48.1,73.5,26.5,61.1,16.7,22.7,15.5,16.2,19.4,44.4,55.6,44.4,87.7,12.3,62,38,Clippers
2010,82,48.4,77,23,61.9,15.7,19,14.8,19.1,16.5,46.2,54.8,45.2,86.4,13.6,60.1,39.9,Clippers
2009,82,48.1,77.9,22.1,64.2,20.4,18.5,13.4,17.4,14.6,43.8,56.3,43.7,81.4,18.6,60.3,39.7,Clippers
2008,82,48.5,77.4,22.6,62.1,19,20.6,11.2,17.4,14.8,43,52.5,47.5,84.7,15.3,58.3,41.7,Clippers
2007,82,48.3,83.3,16.7,64.2,27.3,13.7,9.3,22.1,16,36.9,57.1,42.9,91.7,8.3,61.4,38.6,Clippers
2006,82,48.1,85.7,14.3,65.4,26.9,12,8.2,22.6,16.1,38.6,57.2,42.8,93.3,6.7,61.2,38.8,Clippers
2005,82,48.3,86.9,13.1,67.8,26.9,10.9,9.3,21.3,13.8,40.9,53.7,46.3,88.6,11.4,57.1,42.9,Clippers
2004,82,48.9,89.5,10.5,68.6,27,8.8,8.9,22.6,15.7,41.7,63.2,36.8,86.1,13.9,65,35,Clippers
2003,82,48.3,84.4,15.6,64,19.2,12.7,9.5,23.3,15.9,44.8,55,45,86.6,13.4,58.7,41.3,Clippers
2002,82,48.2,81.8,18.2,63.6,17.9,15.2,12.7,21.2,16.1,45.7,51.8,48.2,86.9,13.1,56.6,43.4,Clippers
2001,82,48.3,82.8,17.2,65.3,20,15.6,10.3,19.1,15,45.3,52.3,47.7,91.9,8.1,57.7,42.3,Clippers
2000,82,48.9,83.6,16.4,66.9,20.7,14.2,12.3,18.8,15.1,46.2,50.5,49.5,84.7,15.3,54.7,45.3,Clippers
1999,82,48.1,81.2,18.8,64.9,22.4,17.1,11.7,18.1,15.4,42.5,47.1,52.9,76.2,23.8,51.4,48.6,Clippers
1997,82,48.2,78.1,21.9,61.2,17.5,20,15.5,18.8,16.2,43.6,47.3,52.7,75.2,24.8,52.3,47.7,Clippers
1996,82,48.6,80,20,63.1,21.3,17.8,13.8,19,19,41.8,51.5,48.5,77.6,22.4,55.6,44.4,Clippers
2020,72,48,60,40,48.3,11.3,37.5,9.1,14.2,14,37,45.4,54.6,83.4,16.6,58.4,41.6,Clippers
2019,72,48.3,62.5,37.5,50.1,9,32.1,11.8,17.9,15.4,41,46.5,53.5,81.8,18.2,57.1,42.9,Clippers
2011,66,48.4,73.1,26.9,59.8,19.7,24,11.3,16.2,17.9,40.1,50,50,82.3,17.7,56.8,43.2,Clippers
1998,50,48.5,83.3,16.7,66.3,19.4,14.2,11.5,19.5,18.6,46.8,43.2,56.8,80.8,19.2,47.9,52.1,Clippers
2021,82,48.7,61.2,38.8,52.9,9,32,13.2,15,14.4,43.9,47.6,52.4,82.5,17.5,57.6,42.4,Lakers
2018,82,48.2,65.8,34.2,57.7,7.9,27.7,17.3,14.6,15,49.8,53.9,46.1,79.3,20.7,60,40,Lakers
2017,82,48.5,67.1,32.9,56.8,8.8,27.8,16.2,15.4,15.1,48,49.2,50.8,86.5,13.5,58.4,41.6,Lakers
2016,82,48.1,70.5,29.5,58.2,12.5,25.5,14.5,16.3,16.6,45.6,46.2,53.8,77.4,22.6,53.2,46.8,Lakers
2015,82,48.1,71,29,56.2,17,24,12.5,19.8,14,39.2,45,55,73.4,26.6,51.3,48.7,Lakers
2014,82,48.6,78,22,62.5,21.8,19.8,12.4,17.8,14.7,40.7,52.7,47.3,72.7,27.3,56.2,43.8,Lakers
2013,82,48.1,70.9,29.1,56,16.2,27.5,14.8,16.5,15.5,39.9,56.9,43.1,85.4,14.6,63.9,36.1,Lakers
2012,82,48.2,69.7,30.3,55.5,14.4,25.6,10,18.9,15.2,41.1,51.8,48.2,85.9,14.1,59.8,40.2,Lakers
2010,82,48.4,78,22,62.6,18.7,18.9,11.4,18.5,15,43.9,52.7,47.3,81.9,18.1,57.6,42.4,Lakers
2009,82,48.4,77.3,22.7,62.6,19.6,19.1,11.1,18.2,16,43,49.7,50.3,81.2,18.8,55,45,Lakers
2008,82,48.2,78.3,21.7,63,19,18.7,11.5,18.3,17.6,43.9,52.2,47.8,85.4,14.6,57.7,42.3,Lakers
2007,82,48.2,74.3,25.7,58.1,17.8,22.3,11.4,19.6,15.8,40.3,55.4,44.6,86.3,13.7,61.7,38.3,Lakers
2006,82,48.9,74.1,25.9,58.9,18.2,21.5,9.3,19.6,16.4,40.7,53.7,46.3,83.7,16.3,59.6,40.4,Lakers
2005,82,48.4,76,24,59.8,20.3,20.3,9.9,19.8,16.9,39.6,51.5,48.5,86.4,13.6,58,42,Lakers
2004,82,48.2,72.7,27.3,55.6,16.4,23.9,12,20.5,13.5,39.2,49.1,50.9,88,12,57.8,42.2,Lakers
2003,82,48.4,83.3,16.7,66.1,21.4,13.6,11.5,20.3,16.9,44.8,60.8,39.2,90.1,9.9,64.3,35.7,Lakers
2002,82,48.6,80.1,19.9,63.3,22.3,17.7,10.4,19,15.5,41,57.2,42.8,86.4,13.6,61.8,38.2,Lakers
2001,82,48.2,79,21,63.6,20.6,18.4,10.5,18,15.3,43,53.9,46.1,90.2,9.8,59.7,40.3,Lakers
2000,82,48.5,80.9,19.1,64.7,20.7,16,9.6,19.3,14.8,44.1,56.5,43.5,86.6,13.4,60.7,39.3,Lakers
1999,82,48.3,84.7,15.3,67.6,20.4,12.5,11.6,19.9,16.4,47.2,58.2,41.8,85.8,14.2,61.2,38.8,Lakers
